id_player,team,position,captain,height,country_,market_value,age
944327,Nottingham Forest,M,0,184.0,CHE,39000000.0,25
1010220,Nottingham Forest,D,0,192.0,ITA,14600000.0,22
1090963,Nottingham Forest,M,0,174.0,ENG,28000000.0,22
871765,Nottingham Forest,M,0,179.0,ARG,14700000.0,27
800417,Nottingham Forest,D,0,182.0,NGA,18200000.0,29
985086,Nottingham Forest,D,0,190.0,BRA,13600000.0,24
50480,Nottingham Forest,F,0,191.0,NZL,8400000.0,34
840103,Nottingham Forest,G,0,197.0,BRA,6800000.0,29
867887,Nottingham Forest,M,0,175.0,BRA,27000000.0,27
846252,Nottingham Forest,M,0,190.0,ENG,10300000.0,28
287643,Nottingham Forest,D,0,175.0,UKR,15500000.0,29
866469,Newcastle United,M,1,182.0,BRA,77000000.0,28
1014286,Newcastle United,D,0,194.0,DEU,37000000.0,24
892673,Newcastle United,M,0,181.0,ITA,69000000.0,25
162653,Newcastle United,G,0,198.0,ENG,6700000.0,33
560128,Newcastle United,M,0,186.0,BRA,32000000.0,29
980623,Newcastle United,F,0,198.0,DEU,75000000.0,23
99090,Newcastle United,D,0,201.0,ENG,5200000.0,33
914902,Newcastle United,F,0,183.0,ENG,62000000.0,24
1136730,Newcastle United,D,0,179.0,ENG,30000000.0,21
855647,Newcastle United,F,0,181.0,ENG,35000000.0,28
1400650,Newcastle United,M,0,188.0,ENG,21000000.0,19
101882,Newcastle United,D,0,186.0,CHE,5800000.0,34
372336,Newcastle United,F,0,176.0,ENG,13800000.0,30
980634,Newcastle United,D,0,181.0,ENG,39000000.0,23
69256,Newcastle United,D,0,174.0,ENG,2300000.0,35
910046,Newcastle United,D,0,193.0,NLD,33000000.0,26
979232,Newcastle United,M,0,178.0,SWE,48000000.0,23
975937,Newcastle United,M,0,180.0,ENG,36000000.0,24
839410,Newcastle United,G,0,191.0,ENG,12600000.0,27
805123,Newcastle United,F,0,176.0,COD,33000000.0,29
190839,Manchester United,D,0,178.0,ENG,9400000.0,30
288205,Manchester United,M,1,179.0,PRT,37000000.0,31
843200,Manchester United,M,0,184.0,PRT,26000000.0,26
